Basic Type,Variety
Basil,Genovese, Common
Beans,Calima
Beans,Tendergreen Improved
Beans,Top Crop
Beet,???
Broccoli,Calabrese
Cabbage,Red Acre Cabbage
Carrot,Rainbow Blend Carrots
Cauliflower,Snowball X
Chives,
Cilantro,
Cucumber,Spacemaster Cucumber
Cucumber,Straight Eight
Dill,Bouquet?
Kale,Dwarf Blue Curled Vate's
Lettuce,Mesclun Mixed Lettuce Greens
Lettuce,Mixed Greens Gourmet Lettuce
Marigold,Sparky
Onion,Tokyo Long Bunching Onion
Oregano,Italian Oregano
Ornamental,Lamb's Ear
Parsley,???
Pea,Sugar Daddy
Pepper,Chinese 5 Color
Pepper,Quadrato D'Asti Rosso
Pepper,Sweet
Radish,Cherry Belle
Rhubarb,Glaskins Perpetual Rhubarb
Spinach,Bloomsdale
Squash,Crookneck Summer Squash
Swiss chard,Rainbow Swiss Chard
Tomato,Ace 55 Tomato
Tomato,Small Red Cherry Tomato
Turnip,???
Zucchini,Zucchini Dark Green
